BaronKills,DominionVictoryScore,DragonKills,FirstBaron,FirstBlood,FirstDragon,FirstInhibitor,FirstTower,InhibitorKills,TeamId,TowerKills,VilemawKills,Winner,MatchId
1,0,2,True,True,False,True,True,1,100,9,0,True,2484619318
0,0,1,False,False,True,False,False,0,200,2,0,False,2484619318
1,0,4,True,True,True,True,True,4,100,10,0,True,2484620917
1,0,1,False,False,False,False,False,0,200,4,0,False,2484620917
0,0,0,False,False,False,False,False,0,100,3,0,False,2484631479
1,0,3,True,True,True,False,True,0,200,5,0,True,2484631479
0,0,0,False,False,False,False,False,0,100,2,0,False,2484659211
1,0,5,True,True,True,True,True,2,200,8,0,True,2484659211
0,0,0,False,False,False,False,False,0,200,0,0,False,2484662901
0,0,2,False,True,True,False,True,0,100,4,0,True,2484662901
0,0,0,False,False,False,False,False,0,100,1,0,False,2484667264
0,0,2,False,True,True,True,True,1,200,4,0,True,2484667264
0,0,1,False,True,True,False,False,0,200,3,0,False,2484671534
0,0,3,False,False,False,True,True,3,100,10,0,True,2484671534
1,0,2,True,False,False,True,False,4,100,11,0,True,2484677058
0,0,2,False,True,True,False,True,0,200,5,0,False,2484677058
0,0,4,False,True,True,True,True,3,200,11,0,True,2484688193
0,0,0,False,False,False,False,False,0,100,0,0,False,2484688193
0,0,1,False,False,False,False,False,0,100,3,0,False,2484712741
0,0,2,False,True,True,True,True,1,200,9,0,True,2484712741
0,0,2,False,False,False,False,False,0,200,2,0,False,2484713650
1,0,3,True,True,True,True,True,2,100,10,0,True,2484713650
1,0,3,True,False,True,True,False,2,200,9,0,True,2484723482
0,0,0,False,True,False,False,True,0,100,4,0,False,2484723482
0,0,1,False,True,True,True,True,2,200,10,0,True,2484734217
0,0,0,False,False,False,False,False,0,100,0,0,False,2484734217
0,0,3,False,False,True,True,False,2,100,9,0,True,2484747162
0,0,1,False,True,False,False,True,0,200,3,0,False,2484747162
0,0,1,False,False,True,False,False,0,200,1,0,False,2484753606
0,0,1,False,True,False,True,True,3,100,11,0,True,2484753606
1,0,1,True,True,True,True,True,3,100,11,0,True,2484756816
0,0,0,False,False,False,False,False,0,200,0,0,False,2484756816
0,0,0,False,False,False,False,False,0,100,0,0,False,2484765652
0,0,3,False,True,True,True,True,1,200,9,0,True,2484765652
0,0,0,False,True,False,False,False,0,200,0,0,False,2484765991
0,0,1,False,False,True,True,True,2,100,8,0,True,2484765991
0,0,1,False,False,False,False,False,0,100,0,0,False,2484768405
0,0,2,False,True,True,True,True,1,200,9,0,True,2484768405
1,0,0,True,True,False,False,True,0,100,6,0,False,2484768796
1,0,3,False,False,True,True,False,1,200,8,0,True,2484768796
0,0,2,False,False,True,True,True,1,100,8,0,True,2484768840
0,0,0,False,True,False,False,False,0,200,1,0,False,2484768840
0,0,3,False,False,True,True,True,1,100,8,0,True,2484770904
1,0,1,True,True,False,False,False,0,200,4,0,False,2484770904
0,0,1,False,False,False,False,True,0,100,3,0,False,2484771662
0,0,2,False,True,True,True,False,1,200,9,0,True,2484771662
0,0,1,False,False,False,True,True,1,100,6,0,True,2484774635
0,0,1,False,True,True,False,False,0,200,0,0,False,2484774635
1,0,2,False,True,True,False,True,1,200,9,0,True,2484781724
1,0,2,True,False,False,True,False,2,100,7,0,False,2484781724
0,0,1,False,True,True,False,True,0,100,3,0,False,2484788427
1,0,2,True,False,False,True,False,2,200,10,0,True,2484788427
0,0,0,False,True,False,False,False,0,200,1,0,False,2484793666
0,0,1,False,False,True,True,True,1,100,7,0,True,2484793666
0,0,2,False,True,True,False,True,0,100,3,0,True,2484800982
0,0,0,False,False,False,False,False,0,200,0,0,False,2484800982
0,0,0,False,False,False,False,False,0,200,1,0,False,2484801528
0,0,2,False,True,True,True,True,3,100,10,0,True,2484801528
0,0,3,False,False,True,True,False,2,200,10,0,True,2484805391
0,0,0,False,True,False,False,True,0,100,3,0,False,2484805391
0,0,0,False,False,False,False,False,0,200,0,0,False,2484809078
0,0,2,False,True,True,True,True,1,100,9,0,True,2484809078
0,0,0,False,False,False,False,True,0,100,3,0,False,2484813818
0,0,3,False,True,True,True,False,2,200,11,0,True,2484813818
1,0,4,False,False,False,False,True,0,100,5,0,False,2484815185
2,0,1,True,True,True,True,False,1,200,8,0,True,2484815185
0,0,2,False,True,False,False,True,0,200,3,0,False,2484821432
1,0,1,True,False,True,True,False,3,100,11,0,True,2484821432
1,0,1,True,False,False,False,False,0,200,2,0,False,2484827539
0,0,4,False,True,True,True,True,3,100,10,0,True,2484827539
0,0,2,False,True,True,True,True,2,200,8,0,True,2484830669
0,0,0,False,False,False,False,False,0,100,0,0,False,2484830669
0,0,1,False,False,True,False,False,0,100,0,0,False,2484842197
1,0,2,True,True,False,True,True,2,200,11,0,True,2484842197
0,0,2,False,True,True,True,False,1,100,9,0,True,2484843500
0,0,1,False,False,False,False,True,0,200,1,0,False,2484843500
1,0,1,True,True,True,False,False,1,100,6,0,True,2484846697
0,0,1,False,False,False,True,True,1,200,5,0,False,2484846697
0,0,1,False,True,False,False,True,0,200,4,0,False,2484853471
1,0,3,True,False,True,True,False,2,100,10,0,True,2484853471
0,0,2,False,True,True,True,True,2,100,11,0,True,2484854234
0,0,0,False,False,False,False,False,0,200,1,0,False,2484854234
0,0,1,False,False,False,True,True,1,100,6,0,False,2484855437
2,0,4,True,True,True,False,False,1,200,7,0,True,2484855437
1,0,3,True,False,True,True,True,1,200,9,0,True,2484857829
0,0,0,False,True,False,False,False,0,100,0,0,False,2484857829
1,0,3,True,True,True,True,True,2,100,9,0,True,2484859914
0,0,0,False,False,False,False,False,0,200,1,0,False,2484859914
1,0,3,False,True,False,True,False,3,100,11,0,True,2484864378
1,0,2,True,False,True,False,True,0,200,3,0,False,2484864378
0,0,1,False,False,False,True,False,1,100,7,0,True,2484864722
0,0,1,False,True,True,False,True,0,200,3,0,False,2484864722
0,0,5,False,True,True,True,True,2,100,10,0,True,2484866247
1,0,1,True,False,False,False,False,0,200,5,0,False,2484866247
1,0,3,True,True,False,True,True,2,100,8,0,True,2484893850
0,0,1,False,False,True,False,False,0,200,3,0,False,2484893850
1,0,1,True,False,False,False,False,0,100,4,0,False,2484894794
0,0,2,False,True,True,True,True,2,200,8,0,True,2484894794
0,0,0,False,False,False,True,True,1,100,7,0,False,2484894997
2,0,5,True,True,True,False,False,1,200,7,0,True,2484894997
0,0,2,False,True,True,True,True,2,100,7,0,True,2484896711
0,0,0,False,False,False,False,False,0,200,1,0,False,2484896711
2,0,2,True,False,True,False,False,4,100,11,0,True,2484905682
0,0,4,False,True,False,True,True,1,200,6,0,False,2484905682
0,0,1,False,False,True,False,False,0,200,2,0,False,2484907889
1,0,3,True,True,False,True,True,2,100,9,0,True,2484907889
1,0,2,True,True,True,True,False,2,100,10,0,True,2484923791
0,0,2,False,False,False,False,True,0,200,2,0,False,2484923791
0,0,0,False,False,False,False,False,0,200,0,0,False,2484929983
0,0,2,False,True,True,True,True,1,100,7,0,True,2484929983
0,0,1,False,True,True,False,False,0,200,1,0,False,2484930085
0,0,1,False,False,False,True,True,1,100,9,0,True,2484930085
0,0,3,False,False,True,True,True,2,200,11,0,True,2484935413
0,0,0,False,True,False,False,False,0,100,1,0,False,2484935413
1,0,2,True,True,False,True,True,2,100,8,0,False,2484954016
2,0,3,False,False,True,False,False,5,200,10,0,True,2484954016
1,0,2,True,True,False,True,False,2,200,9,0,True,2484955761
0,0,1,False,False,True,False,True,0,100,3,0,False,2484955761
